X,Y,OBJECTID,BUSLIC_ID,BUSLIC_LOCATION_ID,DEA_FACILITY_OWNER,DEA_FACILITY_NAME,DEA_BUSINESS_CONTACT,DEA_BUSINESS_PHONE,DEA_FACILITY_ADDRESS,DEA_STALLS,FAC_NAME,HRS_MONFRI,HRS_SAT,HRS_SUN,FAC_TYPE,RTE_1HR,RTE_2HR,RTE_3HR,RTE_ALLDAY,DISABLED,OP_NAME,OP_PHONE,OP_PHONE2,OP_WEB,PAYMENT_TYPE,OTHER,WEBNAME,REGIONID,OUTOFSERV,VACANT,STATUS,DATETIME,SIGNID
-122.318050427856534,47.659170009385541,11,591549,4548,THRIFTY PARK INC,U-PARK #43,KEN JR PHILLIPS,2062849797           ,"4259 ROOSEVELT WY NE, SEATTLE, WA 98015",15,,,,,SURFACE LOT,,,,,,U-Park System,,,,,N,U-PARK,0,,,,,
-122.348651993773984,47.62560217203783,12,575058,4612,THRIFTY PARK INC,U-PARK #108,KEN JR PHILLIPS,2066245353           ,"400 ROY ST, SEATTLE, WA   98109",27,Queen Anne Lot #108,Self park location,Self park location,Self park location,SURFACE LOT,5,5,,10,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=336,,N,U-PARK,0,,,,,
-122.356501487067547,47.620439170256965,13,5515,4600,THRIFTY PARK INC,U-PARK #96,KEN JR PHILLIPS,2066245353           ,"216 QUEEN ANNE AV N, SEATTLE, WA   98109",15,Seattle Center Lot #96,Self park location,Self park location,Self park location,SURFACE LOT,,,,,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=324,,N,U-PARK,0,,,,,
-122.346004430509041,47.61837504652793,14,5503,4594,THRIFTY PARK INC,U-PARK #90,KEN JR PHILLIPS,2062849797           ,"551 DENNY WY, SEATTLE, WA   98109",33,Seattle Center Lot #90,Self park location,Self park location,Self park location,SURFACE LOT,7,7,,,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=318,,N,U-PARK,0,,,,,
-122.357680063822059,47.620135245262475,15,554630,4565,THRIFTY PARK INC,U-PARK #61,KEN JR PHILLIPS,2062849797           ,"200 1ST AV W, SEATTLE, WA   98119",89,Queen Anne Lot 61,Self park location,Self park location,Self park location,GARAGE,,,,,,U-Park System,(206) 284-9797,,,,N,U-PARK,0,,,,,
-122.311820172832228,47.619006173626509,16,658575,684528,ACE PARKING MANAGEMENT INC,ACE PARKING #3270 - GROUP HEALTH CAPITOL HILL,BRYAN COLLINS,6192336624           ,"125 16TH AVE E, SEATTLE, WA 98112",880,Group Health Capitol Hill,6:00am - 9:00pm,Closed,Closed,GARAGE,,,,,,,,,,,N,,,,,,,
-122.317496181182577,47.659170929609843,17,493025,4516,THRIFTY PARK INC,U-PARK #11,KEN JR PHILLIPS,2062849797           ,"4228 ROOSEVELT WY NE, SEATTLE, WA   98105",295,U District Lot #11,,,,SURFACE LOT,5,5,,10,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=255,,N,U-PARK,0,,,,,
-122.344366780306913,47.612498497688698,18,5415,4550,THRIFTY PARK INC,U-PARK #45,KEN JR PHILLIPS,2062849797           ,"2120 1ST AV, SEATTLE, WA   98101",56,Belltown Lot #45,,,,SURFACE LOT,12,12,20,25,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=285,,N,U-PARK,0,,,,,
-122.346817416515833,47.649424650840196,19,5360,4522,THRIFTY PARK INC,U-PARK #17,KEN JR PHILLIPS,2062849797           ,"900 N 34TH ST, SEATTLE, WA   98103",27,Freemont Lot 17,,,,SURFACE LOT,5,5,,10,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=261,,N,U-PARK,0,,,,,
-122.346508791329839,47.648878112753408,20,409156,4570,THRIFTY PARK INC,U-PARK #66,KEN JR PHILLIPS,2066245353           ,"910 N NORTHLAKE WY, SEATTLE, WA   98103",85,Freemont Lot #66,6:00am - 6:00pm,,,SURFACE LOT,7,7,,20,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=301,,N,U-PARK,0,,,,,
-122.348704345307539,47.650666158005684,21,5395,4540,THRIFTY PARK INC,U-PARK #35,KEN JR PHILLIPS,5032344321           ,"720 N 35TH ST, SEATTLE, WA   98103",25,Freemont Lot #35,6:00am - 6:00pm,,,SURFACE LOT,7,7,,10,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=278,,N,U-PARK,0,,,,,
-122.340828834671456,47.613209095478275,22,591548,4546,THRIFTY PARK INC,U-PARK #41,KEN JR PHILLIPS,2062849797           ,"2015 4TH AV, SEATTLE, WA   98121",26,U-Park #41,,,,SURFACE LOT,12,12,15,20,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=366,,N,U-PARK,0,,,,,
-122.333110634833631,47.617354222108503,23,436921,4619,THRIFTY PARK INC,U-PARK  #115,KEN JR PHILLIPS,2066245353           ,"1916 BOREN AV, SEATTLE, WA   98101",49,Denny Triangle Lot #115,,,,SURFACE LOT,7,7,,15,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=340,,N,U-PARK,0,,,,,
-122.323524395452907,47.609718105860068,24,485065,4610,THRIFTY PARK INC,U-PARK #106,KEN JR PHILLIPS,2066245353           ,"1201 MADISON ST, SEATTLE, WA   98104",35,Capitol Hill Lot #106,Self park location,Self park location,Self park location,SURFACE LOT,,,,5,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=334,,N,U-PARK,0,,,,,
-122.346750016508366,47.612675679710279,25,5405,4545,THRIFTY PARK INC,U-PARK #40,KEN JR PHILLIPS,2062849797           ,"2224 WESTERN AV, SEATTLE, WA   98121",88,Belltown Lot #40,,,,SURFACE LOT,12,12,18,20,2,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=282,,N,U-PARK,0,,,,,
-122.333799118295872,47.601138242202218,26,5421,4553,THRIFTY PARK INC,U-PARK #48,KEN JR PHILLIPS,2062849797           ,"114 1ST AV N, SEATTLE, WA   98109",74,Seattle Center Lot #48,6am-6pm,Self park location,Self park location,SURFACE LOT,7,7,,12,,U-Park System,(206)284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=287,,N,U-PARK,0,,,,,
-122.322357821768676,47.611805665842084,27,372,308,THE POLYCLINIC A PROFESSIONAL CORP,POLYCLINIC PARKING,DAVID GILBERT,2063291760           ,"1110 BOYLSTON AV, SEATTLE, WA   98101",170,Polyclinic #93,Self park location,Self park location,Self park location,SURFACE LOT,,,,,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=321,,N,POLYCLINIC PARKING,0,,,,,
-122.345093239918228,47.648661672808018,28,5433,4559,THRIFTY PARK INC,U-PARK #55,KEN JR PHILLIPS,2062849797           ,"1000 N NORTHLAKE WY, SEATTLE, WA   98103",25,Freemont Lot #55,6:00am - 6:00pm,,,SURFACE LOT,7,7,,10,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=293,,N,U-PARK,0,,,,,
-122.322621340260781,47.612165347399028,29,474225,4595,THRIFTY PARK INC,U-PARK #91,KEN JR PHILLIPS,2066245353           ,"1140 BOYLSTON AV, SEATTLE, WA   98122",26,Capitol Hill Lot #91,,,,SURFACE LOT,7,7,10,12,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=319,,N,U-PARK,0,,,,,
-122.322357821768676,47.611805665842084,30,420622,4598,THRIFTY PARK INC,U-PARK #94,KEN JR PHILLIPS,2066245353           ,"1110 BOYLSTON AV, SEATTLE, WA   98101",98,Seattle First Baptist Church Lot #94,,,,SURFACE LOT,,,,15,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=322,,N,U-PARK,0,,,,,
-122.325430337600835,47.59970387139672,31,5481,4583,THRIFTY PARK INC,U-PARK #79,KEN JR PHILLIPS,2062849797           ,"313 MAYNARD AV S, SEATTLE, WA   98104",47,Interational District Lot #79,6am-6pm,Self park location,Self park location,SURFACE LOT,7,7,,12,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=311,,N,U-PARK,0,,,,,
-122.35024113917838,47.649422059093908,32,435185,4557,THRIFTY PARK INC,U-PARK #52,KEN JR PHILLIPS,2062847979           ,"601 N 34TH ST, SEATTLE, WA   98103",56,Freemont Lot #52,,,,SURFACE LOT,3,3,,10,11,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=291,,N,U-PARK,0,,,,,
-122.358434336311859,47.625907192313797,33,5483,4584,THRIFTY PARK INC,U-PARK #80,KEN JR PHILLIPS,2062849797           ,"100 W ROY ST, SEATTLE, WA   98109",50,On The Boards,,,,SURFACE LOT,7,7,,12,1,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=312,,N,U-PARK,0,,,,,
-122.33027893406161,47.605729409119924,34,658620,684560,ABM ONSITE SERVICES WEST INC,ABM PARKING #6141,YONAS AHMED,2062670446           ,"800 5TH AVE, SEATTLE, WA 98104",496,,,,,,,,,,,,,,,,N,800 5th Ave GARAGE,26,N,457,457,2017-10-01T16:51:56.000Z,G23
-122.340793400693428,47.612736715583949,35,5409,4547,THRIFTY PARK INC,U-PARK #42,KEN JR PHILLIPS,2062849797           ,"2000 3RD AV, SEATTLE, WA   98121",26,Belltown Lot #42,,,,SURFACE LOT,12,12,15,20,1,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=283,,N,U-PARK,0,,,,,
-122.354893173668827,47.651783673253519,36,5473,4579,THRIFTY PARK INC,U-PARK #75,KEN JR PHILLIPS,2062849797           ,"166 N 35TH ST, SEATTLE, WA   98103",22,Freemont Lot #35,,,,SURFACE LOT,7,7,,10,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=307,,N,U-PARK,0,,,,,
-122.345311064783829,47.61581653370628,37,418159,4601,THRIFTY PARK INC,U-PARK #97,KEN JR PHILLIPS,2066245353           ,"2335 4TH AV, SEATTLE, WA   98121",30,Downtown lot #97,,,,SURFACE LOT,,,,,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=325,,N,U-PARK,0,,,,,
-122.351582169095806,47.649634106097267,38,466190,4562,THRIFTY PARK INC,U-PARK #58,KEN JR PHILLIPS,2062849797           ,"501 N 34TH ST, SEATTLE, WA   98103",60,Freemont Lot #62,,,,SURFACE LOT,,,,,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=298,,N,U-PARK,0,,,,,
-122.325484553287865,47.63923819002369,39,5372,4528,THRIFTY PARK INC,U-PARK #23,KEN JR PHILLIPS,2062849797           ,"2238 EASTLAKE AV E, SEATTLE, WA   98102",20,Eastlake Lot #23,6:00am - 6:00pm,,,SURFACE LOT,5,5,,7,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=266,,N,U-PARK,0,,,,,
-122.357670567979994,47.619097840338704,40,5397,4541,THRIFTY PARK INC,U-PARK #36,KEN JR PHILLIPS,2066245353           ,"110 1ST AV W, SEATTLE, WA   98119",36,Queen Anne Lot #36,6am-6pm,Self park location,Self park location,SURFACE LOT,7,7,,10,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=279,,N,U-PARK,0,,,,,
-122.341442795211393,47.621076200747318,41,574409,625012,STANDARD PARKING CORP,KC LIBRARY LOT NORTH  81080,BILL BEATTIE,2063818552           ,"301 8TH AV N, SEATTLE, WA   98109",68,KC Library N. - 8th & Harrison,24 Hours,24 Hours,24 Hours,SURFACE LOT,,,,,,Standard Parking Plus,(206) 381-8552,,http://seattleparking.spplus.com/Seattle-KC-Library-N-8th-Ave-Parking.html,,N,8TH & THOMAS LOT,0,,,,,
-122.338073366610786,47.620038680478373,42,648329,677114,SP PLUS CORPORATION,202 WESTLAKE AVE #82220,BILL BEATTIE,2063818552           ,"202 WESTLAKE AVE N, SEATTLE, WA 98109",218,202 Westlake,24 Hours,24 Hours,24 Hours,GARAGE,3.66,4.88,7.32,25.62,,Standard Parking Plus,(206) 624-1755,,http://seattleparking.spplus.com/Seattle-202-Westlake-Parking.html,,N,,,,,,,
-122.338068922914772,47.619208154736171,43,618407,656128,SP PLUS CORPORATION, ROLLIN STREET - AMAZON  LOT#81777,BILL BEATTIE,2063818552           ,"120 WESTLAKE AVE N, SEATTLE, WA 98109",261,Rollin Street Flats,24 Hours,24 Hours,24 Hours,SURFACE LOT,1,6,,22,,Standard Parking Plus,(206) 381-8552,,http://seattleparking.spplus.com/Seattle-Rollin-St-Flats-120-Westlake-N-Parking.html,,N,,,,,,,
-122.335565602364269,47.624056886078762,44,0,2000008,,AMAZON PHASE 3 - 81876,, ,,371,AMAZON PHASE 3 #81876,Self park location,Self park location,Self park location,GARAGE,Permit only,Permit only,Permit only,Permit only,,Standard Parking Plus,(206) 467-1810,,,,N,Standard,,,,,,
-122.338825411610728,47.62497781994211,45,0,2000007,,FOLEY - GREEN  #82018,, ,,21,Foley - Green  #82018,Self park location,Self park location,Self park location,SURFACE LOT,Permit only,Permit only,Permit only,Permit only,,Standard Parking Plus,(206) 381-8552,,,,N,Standard,,,,,,
-122.335603342202532,47.62383388423514,46,591974,637745,STANDARD PARKING CORP,AMAZON 2  81875,BILL BEATTIE,2063818552           ,"500 BOREN AV N, SEATTLE, WA   98109",259,,Self park location,Self park location,Self park location,GARAGE,Permit only,Permit only,,Permit only,,Standard Parking Plus,(206) 623-0244,,,,N,STANDARD,0,,,,,
-122.325000653560608,47.701076725970339,47,585871,633167,STANDARD PARKING CORP,THORTON PLACE GARAGE - LOT 81778,BILL BEATTIE,2066247040           ,"301 NE 100TH ST, SEATTLE, WA   98125",885,Thornton Place,Self park location,Self park location,Self park location,SURFACE LOT,,,,,,Standard Parking Plus,(206) 381-8552 EXT 19,,,,N,THORTON PLACE GARAGE - LOT,0,,,,,
-122.324864048229514,47.608660220234249,48,535907,596076,STANDARD PARKING CORP,CABRINI TOWER GARAGE #81115,BILL BEATTIE,2063818552           ,"1010 MARION ST, SEATTLE, WA   98104",218,Cabrini Tower Garage,7am-8:45pm,8am-4:30pm,closed,GARAGE,4,5,,20,,Standard Parking Plus,(206) 622-7407,,,,N,CABRINI TOWER GARAGE,0,,,,,
-122.333052693566003,47.608420024939242,49,487745,561452,STANDARD PARKING CORP,IBM BUILDING 80787,BILL BEATTIE,2066247040           ,"1200 5TH AV, SEATTLE, WA   98101",158,IBM Garage,7am-1am,10am-1am,2pm-10:30pm,GARAGE,9,12,,35,,Standard Parking Plus,(206) 623-8572,,,,N,IBM BUILDING,0,,,,,
-122.330781700669633,47.620294898632096,50,534398,595266,STANDARD PARKING CORP,ALLEY 24 GARAGE 81174,BILL BEATTIE,206381-855           ,"221 YALE AV N, SEATTLE, WA   98109",368,Alley 24,24 Hours,24 Hours,24 Hours,GARAGE,,,,,,Standard Parking Plus,(206) 340-8860,,http://seattleparking.spplus.com/Seattle-Alley-24-221-Yale-Ave-N-Parking.html,,N,ALLEY 24 GARAGE,0,,,,,
-122.33654449862054,47.617177033607213,51,535841,596043,STANDARD PARKING CORP,STEVE JOHNSON LOT  41119,BILL BEATTIE,2063818552           ,"2030 9TH AV, SEATTLE, WA   98121",36,Steve Johnson Lot,Self park location,Self park location,Self park location,SURFACE LOT,3,3,,15,,Standard Parking Plus,(206) 381-8552,,,,N,STEVE JOHNSON LOT,0,,,,,
-122.338840758995346,47.608702022901063,52,563936,617038,UNITED PARKING SERVICES LLC,UNITED PARKING #4527,JONATHAN DIAMOND,2062843100           ,"1401 2ND AV, SEATTLE, WA   98101",241,Pike Plaza Newmark Garage,6am-7am,9am-7pm,10am-6pm,SURFACE LOT,,,,,3,"United Parking Services, LLC",,,,,N,UNITED,0,,,,,
-122.339947386036783,47.613369307243893,53,587862,634756,UNITED PARKING SERVICES LLC,UNITED PARKING #4504,JONATHAN DIAMOND,2062846303           ,"2024 4TH AV, SEATTLE, WA   98121",204,Warwick Hotel Garage,5:00am - 11:00pm,6:00am - 11:00pm,6:00am - 11:00pm,GARAGE,,,,,,"United Parking Services, LLC",,,http://www.diamondparking.com/find-parking-locations/details/?code=4504,,N,UNITED,0,,,,,
-122.355688665318496,47.614728535319742,54,519470,583927,UNITED PARKING SERVICES LLC,UNITED PARKING #4570,JONATHAN DIAMOND,2062846303           ,"2801 ALASKAN WY, SEATTLE, WA   98121",112,Pier 70 Garage,7:00am - 7:00pm,7:00am - 7:00pm,7:00am - 7:00pm,GARAGE,,,,,,"United Parking Services, LLC",,,http://www.diamondparking.com/find-parking-locations/details/?code=4570,,N,UNITED,0,,,,,
-122.331865173815729,47.604431692442688,55,519468,583925,UNITED PARKING SERVICES LLC,UNITED PARKING #4558/4559,JONATHAN DIAMOND,2062846303           ,"723 4TH AV, SEATTLE, WA   98104",240,4th and Columbia #4558,6am-7pm,CLOSED,CLOSED,GARAGE,18,24,,36,1,"United Parking Services, LLC",(206) 682-7664,,https://secure.diamondparking.com/monthlyParking/location.aspx?id=239,,N,UNITED,0,,,,,
-122.345560129456032,47.611132446298875,56,571195,622436,UNITED PARKING SERVICES LLC,UNITED PARKING #4500,JONATHAN DIAMOND,,"2103 WESTERN AV, SEATTLE, WA   98121",45,Pike Place Market Garage,8:30am-7pm,8:30am-7pm,8:30am-7pm,SURFACE LOT,,,,18,,"United Parking Services, LLC",,,,,N,UNITED,0,,,,,
-122.328766267667973,47.602114085903033,57,533662,594731,UNITED PARKING SERVICES LLC,UNITED PARKING #4507,JONATHAN DIAMOND,2062846303           ,"400 4TH AV, SEATTLE, WA   98104",41,,,,,SURFACE LOT,,,,,2,"United Parking Services, LLC",(206)388-0749,,,,N,UNITED,0,,,,,
-122.332251950397051,47.603108206934031,58,519473,583930,UNITED PARKING SERVICES LLC,UNITED PARKING #4590,JONATHAN DIAMOND,2062846303           ,"213 CHERRY ST, SEATTLE, WA   98104",225,Cherry Street Garage #4590,6am-7pm,CLOSED,CLOSED,GARAGE,11.95,15.53,,20.32,,"United Parking Services, LLC",(206) 682-7664,,,,N,UNITED,0,,,,,
-122.330070944988364,47.619328103485564,59,541987,600950,UNITED PARKING SERVICES LLC,UNITED PARKING #4517,JONATHAN DIAMOND,2062843100           ,"110 YALE AV N, SEATTLE, WA   98109",19,,,,,SURFACE LOT,,,,,,"United Parking Services, LLC",,,http://www.diamondparking.com/find-parking-locations/details/?code=4517,,N,UNITED,0,,,,,
-122.348752566594158,47.614964557104322,60,556886,611878,UNITED PARKING SERVICES LLC,UNITED PARKING #4525,JONATHAN DIAMOND,2060000000           ,"2506 1ST AV, SEATTLE, WA   98101",12,,,,,SURFACE LOT,,,,,,"United Parking Services, LLC",,,http://www.diamondparking.com/find-parking-locations/details/?code=4525,,N,UNITED,0,,,,,
-122.323814597639625,47.619356538899041,61,571196,622438,UNITED PARKING SERVICES LLC,UNITED PARKING #4528,JONATHAN DIAMOND,0000000000           ,"127 BOYLSTON AV E, SEATTLE, WA   98102",29,,,,,SURFACE LOT,,,,,,"United Parking Services, LLC",,,http://www.diamondparking.com/find-parking-locations/details/?code=4528,,N,UNITED,0,,,,,
-122.359429726304398,47.633127877723581,62,457651,76121,REPUBLIC PARKING N W INC,REPUBLIC PARKING #180,GARY BECK,2067834144           ,"1524 2ND AV, SEATTLE, WA   98101",28,,6pm - 6am,24 hours,24 hours,SURFACE LOT,6,6,,12,,Republic Parking Northwest,,,,,N,REPUBLIC,0,,,,,
-122.333927464007715,47.61316535198975,63,556888,611880,UNITED PARKING SERVICES LLC,UNITED PARKING #4547,JONATHAN DIAMOND,2060000000           ,"724 PINE ST, SEATTLE, WA   98101",46,Grand Hyatt Hotel,,,,GARAGE,,,,,,"United Parking Services, LLC",,,,,N,UNITED,0,,,,,
-122.355884135957723,47.619273623169455,64,83112,76130,REPUBLIC PARKING N W INC,REPUBLIC PARKING #515C,GARY BECK,2067834144           ,"121 1ST AV N, SEATTLE, WA   98109",30,,24 hours,24 hours,24 hours,SURFACE LOT,4,4,12,12,1,Republic Parking Northwest,,,http://www.rpnw.com/lot/seattle/30-515C,,N,REPUBLIC,0,,,,,
-122.331492154819401,47.604005227733353,65,519469,583926,UNITED PARKING SERVICES LLC,UNITED PARKING #4560/4561,JONATHAN DIAMOND,2062846303           ,"701 4TH AV, SEATTLE, WA   98104",105,,,,,GARAGE,,,,,3,"United Parking Services, LLC",,,,,N,UNITED,0,,,,,
-122.338167749627118,47.606354762972856,66,541984,600948,UNITED PARKING SERVICES LLC,UNITED PARKING #4518,JONATHAN DIAMOND,2062843100           ,"1221 1ST AV, SEATTLE, WA   98101",635,Harbor Steps Garage,6am-11pm,6am-11pm,6am-11pm,GARAGE,,,,,,"United Parking Services, LLC",,,,,N,UNITED,0,,,,,
-122.353350819073697,47.615657492081496,67,621994,658824,UNITED PARKING SERVICES LLC,UNITED PARKING #4592,JONATHAN DIAMOND,2062843100           ,"2801 WESTERN AVE, SEATTLE, WA 98121",327,,,,,GARAGE,,,,,,"United Parking Services, LLC",,,http://www.diamondparking.com/find-parking-locations/details/?code=4592,,N,,,,,,,
-122.3224855250822,47.613437211268987,68,5342,4513,THRIFTY PARK INC,U-PARK #8,KEN JR PHILLIPS,2062849797           ,"1413 HARVARD AV, SEATTLE, WA   98122",111,Capitol Hill Lot #8,,,,SURFACE LOT,7,7,,12,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=253,,N,U-PARK,0,,,,,
-122.3485039699829,47.625887924058993,69,5382,4533,THRIFTY PARK INC,U-PARK #28,KEN JR PHILLIPS,2062849797           ,"710 4TH AV N, SEATTLE, WA   98109",47,Seattle Center Lot #28,,,,SURFACE LOT,7,7,,10,,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/lot.asp?id=271,,N,U-PARK,0,,,,,
-122.340127745175479,47.621384662396338,70,0,2000016,,ANALYTICAL RESOURCES 81879,, ,,30,Analytical Resources #81879,Self park location,Self park location,Self park location,SURFACE LOT,Permit only,Permit only,Permit only,Permit only,,Standard Parking Plus,(206) 381-8552,,,,N,Standard,,,,,,
-122.339397539401801,47.622871938936242,71,0,2000012,,9TH & REPUBLICAN 81074,, ,,104,9th & Republican #81074,Self park location,Self park location,Self park location,SURFACE LOT,4.9,14.65,14.65,14.65,,Standard Parking Plus,(206) 381-8552,,,,N,Standard,,,,,,
-122.338136879679197,47.621311087735869,72,535878,596062,STANDARD PARKING CORP,TRICK & MURRAY LOT #81095,BILL BEATTIE,2063818552           ,"300 WESTLAKE AV N, SEATTLE, WA   98109",24,Trick & Murray,24 Hours,24 Hours,24 Hours,SURFACE LOT,,,,,,Standard Parking Plus,(206) 381-8552,,http://seattleparking.spplus.com/Seattle-Trick-and-Murray-230-Westlake-N-Parking.html,,Y,TRICK & MURRAY LOT,0,,,,,
-122.318310196923292,47.658211550983822,73,535913,596079,STANDARD PARKING CORP,4225 ROOSEVELT WY NE GARAGE #81124,BILL BEATTIE,2063818552           ,"4225 ROOSEVELT WY NE, SEATTLE, WA   98105",181,Roosevelt Way Garage #81124,6:30am - 7:00pm,Closed,Closed,GARAGE,5,9,,12,,Standard Parking Plus,(206) 545-9401,,,,N,4225 ROOSEVELT WY NE GARAGE,0,,,,,
