OBJECTID,Shape,NAME,ADDRESS,PHONE,WEBSITE,GRADE,CITY,ZIP
66,"(47.61687319400005, -122.33533240499997)",Spruce Street School,914 Virginia St,206.621.9211,www.sprucestreetschool.org,K-5,Seattle,98101-1426
67,"(47.671198608000054, -122.37568392999998)",St. Alphonsus School,5816 15th Ave NW,206.782.4363,www.stalseattle.org,P-8,Seattle,98107-3096
68,"(47.63110511200006, -122.35813769399999)",St. Anne School,101 W Lee St,206.282.3538,www.stannesea.org,P-8,Seattle,98119-3321
69,"(47.66380094200008, -122.33676626399995)",St. Benedict School,4811 Wallingford Ave N,206.633.3375,www.stbens.net,P-8,Seattle,98103-6899
70,"(47.489585669000064, -122.34845311699996)",St. Bernadette School,1028 SW 128th St,206.244.4934,www.stbernadettesea.org,P-8,Seattle,98146-3198
71,"(47.69112059300005, -122.32011433899999)",St. Catherine School,8524 8th Ave NE,206.525.0581,www.stcatherineschool.net,P-8,Seattle,98115-3099
72,"(47.56503750400003, -122.38454732599996)",St. Christopher Academy,4100 SW Genesee St,206.246.9751,www.stchristopheracademy.com,9-12,Seattle,98116-4282
73,"(47.550633101000074, -122.27991364799999)",St. Edwards School,4200 S Mead St,206.725.1774,www.saintedwardseattle.org,P-8,Seattle,98118-2795
74,"(47.55586612400003, -122.31641141299997)",St. George School,5117 13th Ave S,206.762.0656,www.saintgeorgeseattle.org,P-8,Seattle,98108-2309
75,"(47.68639414000006, -122.357634556)",St. John School,120 N 79th St,206.783.0337,www.st-johnschool.org,P-8,Seattle,98103-4688
76,"(47.62547818000007, -122.30827667599999)",St. Joseph School,700 18th Ave E,206.329.3260,www.stjosephsea.org,K-8,Seattle,98112-3900
77,"(47.72154541500004, -122.31392479799996)",St. Matthew School,1230 NE 127th St,206.362.2785,www.stmattschool.org,P-8,Seattle,98125-4021
78,"(47.51042025800007, -122.26276563099998)",St. Paul School,10001 57th Ave S,206.725.0780,www.seattlestpaul.org,P-8,Seattle,98178-2299
79,"(47.61118419500008, -122.28800275499998)",St. Therese Catholic Academy,900 35th Ave,206.324.0460,www.stcaseattle.org,P-8,Seattle,98122-5299
80,"(47.521904412000026, -122.38787410199996)",Taproot School,9131 California Ave SW,206.849.7146,www.taprootschool.org,K-5,Seattle,98136-2551
81,"(47.62290728500005, -122.28879287699999)",The Bush School,3400 E Harrison,206.322.7978,www.bush.edu,K-12,Seattle,98112-4268
82,"(47.57498653000005, -122.28536135599995)",The Lake and Park School,3201 Hunter Blvd S,206.721.3480,www.lakeandpark.org,K-5,Seattle,98144-7029
83,"(47.62169507900006, -122.29231492199995)",The Valley School,309 31st Ave E,206.328.4475,www.thevalleyschool.org,P-5,Seattle,98112-4819
84,"(47.56614858900008, -122.38719025199998)",Tilden School,4105 California Ave SW,206.938.4628,www.tildenschool.org,K-5,Seattle,98116-4101
85,"(47.56224453600004, -122.31217720599994)",Torah Day School of Seattle,1625 S Columbian Way,206.722.1200,www.tdsseattle.org,P-8,Seattle,98108-4634
86,"(47.66664859400004, -122.31817801499994)",University Child Development School,5062 9th Ave NE,206.547.8237,www.ucds.org,P-5,Seattle,98105-3605
87,"(47.66965404300004, -122.31336034399999)",University Cooperative School,5601 University Ave NE,206.524.0653,www.ucoopschool.org,K-5,Seattle,98105-2619
88,"(47.68699883700003, -122.30013291199998)",University Preparatory,8000 25th Ave NE,206.525.2714,www.universityprep.org,6-12,Seattle,98115-4600
89,"(47.66368030400008, -122.27324033399998)",Villa Academy,5001 NE 50th St,206.524.8885,www.thevilla.org,P-8,Seattle,98105-2899
90,"(47.509592475000034, -122.37416920499999)",Westside School,10404 34th Ave SW,206.932.2511,www.westsideschool.org,P-8,Seattle,98146-1270
91,"(47.61432262900007, -122.31257211599996)",Xceed Preparatory School,1501 E Madison St,253.312.4014,www.xceedprep.org,6-12,Seattle,98122-4499
